RE_Identity	Normalized	FOLD	condensed
77Sp	1.94736842105263	0.564420286804114	77Sp
7Bh7	2.05172413793103	0.639731202799122	7h7
BSB7	0.511627906976744	-1.36393870144605	S7
ShBp	1.16842105263158	-0.172545307362092	Shp
Sp7S	2.6734693877551	1.02160759204099	Sp7S
ppp7	1.55855855855856	0.243106795905369	ppp7
hph7	1.07258064516129	-0.296019440266936	hph7
hphB	1.72933753943218	0.393113922417756	hph
Bh77	0.310679611650485	-2.08360609256447	h77
7hpS	1.46277665995976	0.151603946976058	7hpS
php7	0.712522045855379	-0.886099007571684	php7
7pSp	0.661111111111111	-0.994140898402981	7pSp
hh7p	1.03384615384615	-0.349084050518307	hh7p
h7pS	1	-0.39710556538125	h7pS
ppSB	1.64378109452736	0.319912619971904	ppS
BSBS	0.966260543580131	-0.446621408837567	SS
BBhh	0.240556660039761	-2.45265691791218	hh
pppp	0.634042553191489	-1.05445399148409	pppp
Bhh7	1.95180722891566	0.56770500615645	hh7
BBBp	1.46879535558781	0.157527836608769	p
SpBB	1.03273453093812	-0.35063611477908	Sp
pphS	2.85869565217391	1.11825146785404	pphS
hSBB	1.15089514066496	-0.194349171471565	hS
BShh	0.494766224703419	-1.41228664240388	Shh
B7Sp	1.3888166449935	0.0767505783444772	7Sp
Shhh	0.583333333333333	-1.1747131440448	Shhh
BpSh	0.962544589774079	-0.452180285333828	pSh
BpBh	0.987179487179487	-0.415721243548597	ph
S7Sh	0.655234657039711	-1.00702199343469	S7Sh
B77S	0.917293233082707	-0.521650663319553	77S
hhSS	0.881877022653722	-0.578456173621336	hhSS
pS7p	1.74805194805195	0.408642493646803	pS7p
Shp7	0.506517690875233	-1.37842100211632	Shp7
7SpB	0.498525073746313	-1.40136759223541	7Sp
7Sp7	0.307116104868914	-2.10024949245072	7Sp7
hh7S	0.95702005730659	-0.46048449911685	hh7S
7ppp	0.980582524271845	-0.425394609812674	7ppp
SppB	1.04125	-0.338789069790427	Spp
7hSp	0.695402298850575	-0.921185823955384	7hSp
p77p	0.580357142857143	-1.1820926744104	p77p
B7Sh	0.552583025830258	-1.25284241394634	7Sh
h7Sp	1.01851851851852	-0.370633354020059	h7Sp
ppSS	1.90461997019374	0.532397599365561	ppSS
Bh7S	0.130555555555556	-3.33436981003329	h7S
pBSS	0.735159817351598	-0.840975746867806	pSS
pSSh	1.2093023255814	-0.122930601942256	pSSh
phpS	1.82620320855615	0.471741743021204	phpS
hShh	0.980769230769231	-0.425119941550847	hShh
pS7h	0.333333333333333	-1.98206806610241	pS7h
SpBB	1.25290023201856	-0.0718340274195174	Sp
Bhh7	1.37062937062937	0.0577329419555688	hh7
hBBS	0.986449864498645	-0.41678793124295	hS
pS77	0.479289940828402	-1.45813499877881	pS77
7BhS	0.731051344743276	-0.849060924124894	7hS
BhpS	0.5703125	-1.20728100650123	hpS
BS7p	1.18090452261307	-0.157213239359899	S7p
SBpp	0.956326987681971	-0.461529670881982	Spp
7ppB	1.46177847113885	0.150619125659196	7pp
SSB7	1.08054522924411	-0.285346103882104	SS7
ppSp	1.91304347826087	0.538764097199034	ppSp
h7pp	0.612546125461255	-1.1042151753882	h7pp
SpB7	0.645390070921986	-1.02886227758135	Sp7
SS77	0.231079717457114	-2.51064302447079	SS77
S77S	0.901671583087512	-0.546431605643696	S77S
7Shp	1.03452855245684	-0.348132101991509	7Shp
BpBh	0.647623619779165	-1.02387805647363	ph
7h77	0.456852791878173	-1.52730428850795	7h77
hBSh	0.837093862815884	-0.653644259922273	hSh
hhB7	0.972981806296982	-0.436620831840357	hh7
phS7	0.507211538461538	-1.37644609481516	phS7
h7p7	1.91022099447514	0.536633988686039	h7p7
hS77	1.06122448979592	-0.311375691355366	hS77
SpB7	0.594957983193277	-1.14624587349356	Sp7
SBBp	1.57146731760239	0.255006702795335	Sp
hBBp	1.34014423076923	0.0252827112853248	hp
BS7h	1.08039215686275	-0.28555049366895	S7h
SBph	1.03649635036496	-0.345390528837095	Sph
BBBp	0.962585034013605	-0.452119667385732	p
7pBS	0.113149847094801	-3.54079902525038	7pS
SSSh	0.50561797752809	-1.38098590001797	SSSh
pBS7	1.08029197080292	-0.285684282712827	pS7
p7Sh	0.838709677419355	-0.650862157627033	p7Sh
S7Bh	0.707581227436823	-0.89613788731523	S7h
SBpp	1.15051546391753	-0.194825190626553	Spp
7SpS	0.595744680851064	-1.14433949500128	7SpS
BSSB	1.48924731182796	0.177477789559907	SS
h77B	0.285714285714286	-2.20446048743885	h77
SB7p	0.674757281553398	-0.964665019840961	S7p
7SpS	3.0188679245283	1.19690207494291	7SpS
ShSh	1.33208955223881	0.016585508190077	ShSh
77Bh	0.5	-1.39710556538125	77h
7SSp	0.654377880184332	-1.00890967832105	7SSp
BhSB	1.34959349593496	0.0354193606264347	hS
pphB	0.744939271255061	-0.821910840908915	pph
pBBh	0.178571428571429	-2.88253239255149	ph
BpBh	1.73991031390135	0.401907376885573	ph
S7BS	1.02307692307692	-0.364190942908515	S7S
hppS	1.54098360655738	0.226745948733501	hppS
pSSB	4.07017543859649	1.62798541558158	pSS
pB7S	0.25	-2.39710556538125	p7S
pphp	1.36805555555556	0.0550212526328138	pphp
hBhh	0.477996965098634	-1.46203220200202	hhh
Bhp7	1.40174672489083	0.0901201336441091	hp7
B7hp	1	-0.39710556538125	7hp
pBhB	1.06926210955183	-0.300490019339368	ph
h7h7	0.844256518675123	-0.641352246653016	h7h7
p7Sh	0.535864978902954	-1.29716412750734	p7Sh
S7SS	1.01339285714286	-0.377912000147939	S7SS
SBBB	0.795749704840614	-0.72671894353159	S
B7ph	0.402214022140221	-1.7110702819582	7ph
7pSB	0.697635135135135	-0.916560959590754	7pS
phBS	0.910846953937593	-0.531824996300786	phS
7pcx4	0.647727272727273	-1.02364716985381	7pcx4
hhB7	1.38512396694215	0.0729095361561447	hh7
pShp	0.696335078534031	-0.919251957915809	pShp
hhSp	1.34299516908213	0.028348549842932	hhSp
B77B	0.341614906832298	-1.94666272997121	77
hBph	0.67032967032967	-0.97416286801706	hph
hhhB	1.37122736418511	0.0583622398616734	hhh
BShB	0.928	-0.504908854915765	Sh
7BSp	0.56	-1.23360683309837	7Sp
7hS7	0.371794871794872	-1.82452678911593	7hS7
hBB7	0.758364312267658	-0.796142585966379	h7
pB7h	0.534351145038168	-1.30124554997373	p7h
Control	1.55675675675676	0.24143797554475	Control
SBhB	1.04	-0.340522037014882	Sh
7BBh	0.286031042128603	-2.20286193321338	7h
BBp7	0.587188612099644	-1.16520967135636	p7
ppBS	0.550660792951542	-1.25786976801008	ppS
BShS	0.727405247813411	-0.856274326216802	ShS
BSBS	0.866666666666667	-0.603556442848676	SS
hpBS	0.241935483870968	-2.44441128015961	hpS
pS77	1.03854875283447	-0.342536622841827	pS77
hBph	0.649162011173184	-1.02045508412834	hph
B7BB	0.641509433962264	-1.03756317869411	7
pBSh	0.946607341490545	-0.476267549209735	pSh
77hh	0.491603053435115	-1.42153978369145	77hh
Sh77	0.351493848857645	-1.90553421791311	Sh77
ppph	0.566634707574305	-1.21661468772348	ppph
7S7h	0.308375634517767	-2.09434488123185	7S7h
BBpp	2.22674418604651	0.757830261841609	pp
7pcx4	0.717948717948718	-0.875152862185894	7pcx4
7hh7	0.493181818181818	-1.41691404646143	7hh7
SMARCAD1	0.541237113402062	-1.28277288990226	SMARCAD1
BpBS	0.589613432253026	-1.15926426876628	pS
B77B	1.43404255319149	0.122982269235609	77
7ShS	1.43269230769231	0.121623236939819	7ShS
7h7h	0.348684210526316	-1.91711262426164	7h7h
SSp7	0.74290780141844	-0.825850484080692	SSp7
p7p7	0.540076335877863	-1.28587032408682	p7p7
hSSh	1.53479853479853	0.220943727398249	hSSh
BhpB	1.45433255269321	0.143251633218741	hp
SB7B	0.855392156862745	-0.622447681143094	S7
hpp7	0.727362204724409	-0.856359698007265	hpp7
77hS	0.552845528455285	-1.25215722947015	77hS
SShB	1.37061894108874	0.0577219640033104	SSh
hBSS	0.622306717363752	-1.08140784108002	hSS
7Spp	0.216216216216216	-2.6065589310102	7Spp
77S7	1.38926174496644	0.0772128716559137	77S7
7BSh	0.620481927710843	-1.08564446954496	7Sh
7B7h	0.382352941176471	-1.7841286884905	77h
hhh7	1.07797662527392	-0.288779670191583	hhh7
h7pS	0.445378151260504	-1.56400287412599	h7pS
S7pB	0.699266503667482	-0.913191261544609	S7p
hS7S	2.4169741697417	0.876096489689691	hS7S
77Sp	0.236714975845411	-2.47588267876537	77Sp
B7S7	0.878238341968912	-0.584421139512987	7S7
7BhB	0.701901140684411	-0.90776581191514	7h
7SBB	0.67982924226254	-0.953861240784136	7S
BhBS	1.41950464396285	0.108282003519879	hS
BSBp	1.88255613126079	0.515587316293802	Sp
pShp	0.863260706235913	-0.609237338647029	pShp
pBhB	1.08952811893988	-0.273402134846076	ph
Control	1.70746634026928	0.374751573189616	Control
7S7h	0.498727735368957	-1.40078122352465	7S7h
BBB7	1.34437086092715	0.0298256124788473	7
pSp7	0.968421052631579	-0.443399217655185	pSp7
7hB7	0.611650485436893	-1.10632616906455	7h7
7p7S	1.33823529411765	0.0232262335671066	7p7S
p77S	1.39887640449438	0.0871629357204332	p77S
hBh7	0.78448275862069	-0.747291920310126	hh7
SSB7	2.21491228070175	0.750143998093165	SS7
pS7B	0.96969696969697	-0.441499684739704	pS7
Control	1.59574468085106	0.277124273436993	Control
h77S	0.225225225225225	-2.54766524195663	h77S
77Bh	0.594936708860759	-1.14629746188072	77h
7Bhp	1.58823529411765	0.270319095531879	7hp
BhhB	1.10052447552448	-0.258914334440623	hh
BhSS	1.19946808510638	-0.134710793803506	hSS
BppB	0.578151260504202	-1.18758666887446	pp
7Bph	0.642073778664008	-1.03629457787881	7ph
Sph7	0.577464788732394	-1.18930068026785	Sph7
pBpS	1.98653198653199	0.593146458067188	ppS
S7pS	0.854651162790698	-0.623697975246984	S7pS
BhBS	0.712990936555891	-0.885149922826627	hS
BB7p	2.25757575757576	0.777668835722458	7p
7hS7	0.59144893111639	-1.15478005637957	7hS7
hSSS	0.421845574387947	-1.6423186941278	hSSS
pBBS	1.53993250843645	0.22576155704688	pS
BhSB	0.733128834355828	-0.844966911631579	hS
B7Bp	1.42053789731051	0.10933175508153	7p
h7hp	1.61634596310256	0.295630460575274	h7hp
7Bph	0.736313868613139	-0.838712785063997	7ph
BBBh	0.633716475095785	-1.05519613766722	h
pBhS	0.84549356223176	-0.639239890579154	phS
S77B	0.987577639751553	-0.415139488211512	S77
B7hh	0.326086956521739	-2.01377692582974	7hh
7hSB	1.21753246753247	-0.113145320692908	7hS
BpBS	2.04464285714286	0.63474330065809	pS
7p7S	0.32133676092545	-2.03494762570535	7p7S
SpSp	1.38612473721093	0.0739515259020971	SpSp
hh7S	1.24791086350975	-0.0775906771466973	hh7S
hpSS	1.97027600849257	0.581292180133539	hpSS
7B7p	0.44954128440367	-1.55058004604297	77p
pSSp	1.56709956709957	0.250991280285898	pSSp
hB7h	1.28510638297872	-0.0352177726211707	h7h
pphh	0.41185647425897	-1.67689199264154	pphh
php7	0.86084142394822	-0.613286157784435	php7
hBB7	0.71664829106946	-0.877768397993956	h7
7hSB	0.744877049180328	-0.822031349024542	7hS
B77B	1.31385281385281	-0.00330190054162556	77
B7BB	0.982785602503912	-0.422156937436617	7
pBp7	1.06930693069307	-0.300429545969576	pp7
7ppp	1.34544573643411	0.0309786410143418	7ppp
77ph	0.591087811271298	-1.1556611889604	77ph
ppSh	0.815244407622204	-0.691801020797032	ppSh
SShh	0.714634146341463	-0.881828810464448	SShh
7Sph	0.870683818551117	-0.596884748818092	7Sph
B7Sp	1.3998127340824	0.0881282720166633	7Sp
B7hp	1.02303262955854	-0.364253404900582	7hp
Bhhh	0.696969696969697	-0.917937728682691	hhh
hhhB	1.61471815167398	0.294176799743557	hhh
S7hB	0.9375	-0.490214969772732	S7h
7S77	0.654696132596685	-1.0082082035662	7S77
hS7B	0.989174560216509	-0.412808523574964	hS7
7pB7	0.783433133732535	-0.749223514797469	7p7
BSS7	1.13857677902622	-0.209873983625219	SS7
S77S	0.67983651226158	-0.953845812887202	S77S
BhS7	0.799757281553398	-0.719471437556417	hS7
SpSB	1.35646140503036	0.0427424342743305	SpS
SShh	0.595648912228057	-1.14457143332727	SShh
